,명칭,주소,위도,경도,분류
83,오퐁드부아,대구광역시 달성군 주리2길 104,35.7524614839,128.6184944645,음식점_카페
84,제니아빈,대구광역시 달서구 성서공단로15길 102층,35.8358719241,128.4908061747,음식점_카페
85,하이브,대구광역시 동구 파계로 653,35.9884628656,128.635728036,음식점_카페
86,유가제빵소,대구광역시 달성군 테크노중앙대로1길 35,35.6729841578,128.4562192616,음식점_카페
87,자연충만,대구광역시 달성군 마비정길 163,35.7828814807,128.5334538837,음식점_카페
88,마르텐사이트,대구광역시 달성군 하빈로 363,35.89985262,128.4392033979,음식점_카페
89,스위치온,대구광역시 달성군 헐티로11길 35,35.7881515923,128.6021699114,음식점_카페
90,메르헨카페,대구광역시 달성군 성산로 12811층,35.7610703665,128.398483039,음식점_카페
91,카페비슬,대구광역시 달성군 음동길 201,35.7025648387,128.4939734615,음식점_카페
92,마고플레인 아양점,대구광역시 동구 해동로 107,35.8903963138,128.6420218916,음식점_카페
93,메종듀미디,대구광역시 동구 서촌로21길 11,35.983543763,128.6240903116,음식점_카페
94,브런치달랏,대구광역시 동구 팔공로 400-6,35.9344524918,128.6450676145,음식점_카페
95,슬로우라이프,대구광역시 수성구 동대구로77길 33-4,35.8644683724,128.6246241472,음식점_카페
96,우니카트,대구광역시 수성구 범어천로 151-4,35.8605159932,128.6220022658,음식점_카페
97,성당못빌,대구광역시 남구 성당로 54-5,35.8420780761,128.5615192167,음식점_카페
98,프라그란자,대구광역시 달성군 가창로176길 29,35.7897770054,128.6345753483,음식점_카페
99,스테이블모먼트,대구광역시 달성군 비슬로 2614-9,35.8045645741,128.5026809943,음식점_카페
100,샵원커피,대구광역시 중구 경상감영길 170,35.8721142149,128.5967708314,음식점_카페
101,삼송빵집 본점,대구광역시 중구 동성로3가 1-3,35.8686534349,128.5934712192,음식점_카페
